Id,season,date,team1,team2,toss_winner,toss_decision,winner,win_by_wickets,win_by_runs,man_of_match,venue,umpire1,umpire2,result
36,2017,2/19/2017,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,0,9,shoaib Malik,Sharjah Cricket Stadium,Ahmed Shahab,Aleem Dar,normal
37,2017,2/20/2017,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,1,0, Umar Akmal,Sharjah Cricket Stadium,Ahmed Shahab,Ahsan Raza,normal
38,2017,2/23/2017,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,6,0,Mahmudullah,Dubai International Cricket Stadium,REJ Martinesz,Aleem Dar,normal
39,2017,2/24/2017,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,0,1,Mohammad Sami,Dubai International Cricket Stadium,Ahsan Raza,Aleem Dar,normal
40,2017,2/24/2017,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,0,17,Shakib Al Hasan,Dubai International Cricket Stadium,REJ Martinesz,Shozab Raza,normal
41,2017,2/25/2017,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Peshawar Zalmi,2,0,Mohammad Asghar,Dubai International Cricket Stadium,Ahmed Shahab,Ahsan Raza,normal
42,2017,2/25/2017,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Karachi Kings,5,0,KA Pollard,Dubai International Cricket Stadium,REJ Martinesz,Shozab Raza,normal
43,2017,2/26/2017,Islamabad United,Karachi Kings,Karachi Kings,field,Karachi Kings,6,0,CH Gayle,Dubai International Cricket Stadium,Aleem Dar,REJ Martinesz,normal
44,2017,2/28/2017,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,0,1,Ahmed Shehzad,Dubai International Cricket Stadium,REJ Martinesz,Shozab Raza,normal
45,2017,3/1/2017,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,0,44,Imad Wasim,Sharjah Cricket Stadium,REJ Martinesz,Shozab Raza,normal
46,2017,3/3/2017,Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,0,24,Kamran Akmal,Dubai International Cricket Stadium,REJ Martinesz,Ahsan Raza,normal
47,2017,3/5/2017,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,0,58,DJG Sammy,Gaddafi Stadium,Ahsan Raza,REJ Martinesz,normal
48,2018,2/22/2018,Peshawar Zalmi,Multan Sultans,Multan Sultans,field,Multan Sultans,7,0,KC Sangakkara,Dubai International Cricket Stadium,Ahmed Shahab,RT Robinson,normal
